Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,School_id,Distance_to_school,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Recreation_centre_id,Distance_to_Recreation_centre
30347.0,-37.764414,145.004458,7 Reid Street,NORTHCOTE,8100000.0,house,2013.0,3.0,1.0,0.0,4731.0,7.526,20015,0.652,23.866666666666667,0.0,hospital_035,0.342,MORELA13030,7.316
60225.0,-37.813593,145.186581,7 Page Street,MITCHAM,11325000.0,house,2014.0,4.0,2.0,2.0,4844.0,1.246,19900,0.747,34.714285714285715,0.0,hospital_010,0.748,WHITEH11003,0.601
29522.0,-37.771988,145.009418,16 Thames Street,NORTHCOTE,12000000.0,house,2012.0,4.0,2.0,2.0,4731.0,8.416,19929,0.808,20.76923076923077,0.0,hospital_035,1.02,MORELA13030,8.224
43390.0,-37.711856,145.087908,1 Papua Street,WATSONIA,8606000.0,house,2016.0,2.0,1.0,2.0,4341.0,2.351,19984,0.376,38.57142857142857,0.0,hospital_075,1.75,BANYUL12834,1.756
15201.0,-37.729701,144.922356,3 Lebanon Street,STRATHMORE,17250000.0,house,2015.0,3.0,2.0,3.0,8345.0,0.21,20034,0.527,31.818181818181817,0.0,hospital_184,2.069,MOONEE9382,0.253
94588.0,-37.923054,145.026367,10 Tovan Akas Avenue,BENTLEIGH,14640000.0,house,2015.0,4.0,3.0,3.0,4928.0,0.836,19938,0.833,35.714285714285715,0.0,hospital_110,1.441,BAYSID12345,0.358
48441.0,-37.80348969,145.0280151,41 Fernhurst Grove,KEW,9040000.0,house,2008.0,3.0,1.0,2.0,1422.0,11.844,19905,2.09,14.058823529411764,0.0,hospital_032,1.144,MARIBY8454,11.339
8146.0,-37.766777,144.777692,16 Gunuwarra Road,CAIRNLEA,9792000.0,house,2016.0,4.0,2.0,3.0,4792.0,6.373,19982,1.312,23.416666666666668,0.0,hospital_057,3.314,MARIBY5531,7.496
35241.0,-37.70974731,145.017807,58 Crookston Road,RESERVOIR,5170000.0,house,2008.0,3.0,2.0,1.0,2110.0,2.7,20009,0.759,35.86666666666667,0.0,hospital_139,1.945,WHITTL9561,2.455
51793.0,-37.802738,145.192647,14 Lisbeth Avenue,DONVALE,9260000.0,house,2015.0,3.0,1.0,2.0,4844.0,1.035,19900,1.709,34.714285714285715,0.0,hospital_070,0.797,MANNIN11010,0.255
38187.0,-37.771857,145.022813,28 Separation Street,FAIRFIELD,10140000.0,house,2014.0,3.0,1.0,2.0,1965.0,9.252,19930,0.966,22.76923076923077,0.0,hospital_039,1.176,DAREBI11830,8.839
30426.0,-37.764391,145.003836,8 Reid Street,NORTHCOTE,16500000.0,house,2016.0,2.0,1.0,2.0,4731.0,7.483,20015,0.597,23.866666666666667,0.0,hospital_035,0.389,MORELA13030,7.275
35670.0,-37.721189,145.00732,846 High Street,RESERVOIR,4560000.0,house,2014.0,3.0,1.0,1.0,2110.0,3.531,20010,0.48,34.86666666666667,0.0,hospital_139,0.91,DAREBI11830,3.136
